"code","entity","nr","date","vote","key","turnout"
"m","Stadt Luzern",4,2012-09-23,"Schutz vor Passivrauchen","18 bis 19 Jahre",0.316
"m","Stadt Luzern",5,2012-11-25,"Tierseuchengesetz","18 bis 19 Jahre",0.2114
"m","Stadt Luzern",6,2013-03-03,"Abzockerinitiative","18 bis 19 Jahre",0.4824
"m","Stadt Luzern",7,2013-06-09,"Volkswahl des Bundesrates","18 bis 19 Jahre",0.4326
"m","Stadt Luzern",8,2013-09-22,"Wehrpflicht","18 bis 19 Jahre",0.406
"m","Stadt Luzern",9,2013-11-24,"1 zu 12","18 bis 19 Jahre",0.3882
"m","Stadt Luzern",10,2014-02-09,"Masseneinwanderungsinitiative","18 bis 19 Jahre",0.6456
"m","Stadt Luzern",11,2014-05-18,"Mindestlohninitiative","18 bis 19 Jahre",0.5679
"m","Stadt Luzern",12,2014-09-28,"Einheitskrankenkasse","18 bis 19 Jahre",0.3719
"m","Stadt Luzern",13,2014-11-30,"Pauschalsteuer","18 bis 19 Jahre",0.435
"m","Stadt Luzern",14,2015-03-08,"Energie- statt Mehrwertsteuer","18 bis 19 Jahre",0.4276
"m","Stadt Luzern",15,2015-03-29,"Kantons- und Regierungsratswahlen","18 bis 19 Jahre",0.4091
"m","Stadt Luzern",16,2015-05-10,"2. Wahlgang Regierungsratswahlen","18 bis 19 Jahre",0.3761
"m","Stadt Luzern",17,2015-06-14,"Erbschaftssteuer","18 bis 19 Jahre",0.4231
"m","Stadt Luzern",18,2015-10-18,"National- und Ständeratswahlen","18 bis 19 Jahre",0.4587
"gap","Stadt Luzern",1,2012-03-11,"Ferieninitiative","18 bis 19 Jahre",-0.0716
"gap","Stadt Luzern",2,2012-05-06,"Lokale Wahlen","18 bis 19 Jahre",-0.0442
"gap","Stadt Luzern",3,2012-06-17,"Managed Care","18 bis 19 Jahre",-0.009
"gap","Stadt Luzern",4,2012-09-23,"Schutz vor Passivrauchen","18 bis 19 Jahre",-0.0112
"gap","Stadt Luzern",5,2012-11-25,"Tierseuchengesetz","18 bis 19 Jahre",-0.008
"gap","Stadt Luzern",6,2013-03-03,"Abzockerinitiative","18 bis 19 Jahre",0.0283
"gap","Stadt Luzern",7,2013-06-09,"Volkswahl des Bundesrates","18 bis 19 Jahre",-0.0221
"gap","Stadt Luzern",8,2013-09-22,"Wehrpflicht","18 bis 19 Jahre",0.0153
"gap","Stadt Luzern",9,2013-11-24,"1 zu 12","18 bis 19 Jahre",-0.0528
"gap","Stadt Luzern",10,2014-02-09,"Masseneinwanderungsinitiative","18 bis 19 Jahre",0.0096
"gap","Stadt Luzern",11,2014-05-18,"Mindestlohninitiative","18 bis 19 Jahre",0.0224
"gap","Stadt Luzern",12,2014-09-28,"Einheitskrankenkasse","18 bis 19 Jahre",-0.0414
"gap","Stadt Luzern",13,2014-11-30,"Pauschalsteuer","18 bis 19 Jahre",-0.0264
"gap","Stadt Luzern",14,2015-03-08,"Energie- statt Mehrwertsteuer","18 bis 19 Jahre",-0.0238
"gap","Stadt Luzern",15,2015-03-29,"Kantons- und Regierungsratswahlen","18 bis 19 Jahre",-0.0998
"gap","Stadt Luzern",16,2015-05-10,"2. Wahlgang Regierungsratswahlen","18 bis 19 Jahre",-0.068
"gap","Stadt Luzern",17,2015-06-14,"Erbschaftssteuer","18 bis 19 Jahre",-0.0454
"gap","Stadt Luzern",18,2015-10-18,"National- und Ständeratswahlen","18 bis 19 Jahre",0.0063
"ref","Stadt Luzern",1,2012-03-11,"Ferieninitiative","18 bis 19 Jahre",-0.1006
"ref","Stadt Luzern",2,2012-05-06,"Lokale Wahlen","18 bis 19 Jahre",-0.1203
"ref","Stadt Luzern",3,2012-06-17,"Managed Care","18 bis 19 Jahre",-0.1792
"ref","Stadt Luzern",4,2012-09-23,"Schutz vor Passivrauchen","18 bis 19 Jahre",-0.1364
"ref","Stadt Luzern",5,2012-11-25,"Tierseuchengesetz","18 bis 19 Jahre",-0.1234
"ref","Stadt Luzern",6,2013-03-03,"Abzockerinitiative","18 bis 19 Jahre",0.0458
"ref","Stadt Luzern",7,2013-06-09,"Volkswahl des Bundesrates","18 bis 19 Jahre",-0.035
"ref","Stadt Luzern",8,2013-09-22,"Wehrpflicht","18 bis 19 Jahre",-0.0564
"ref","Stadt Luzern",9,2013-11-24,"1 zu 12","18 bis 19 Jahre",-0.1474
"ref","Stadt Luzern",10,2014-02-09,"Masseneinwanderungsinitiative","18 bis 19 Jahre",0.1187
"ref","Stadt Luzern",11,2014-05-18,"Mindestlohninitiative","18 bis 19 Jahre",0.0192
"ref","Stadt Luzern",12,2014-09-28,"Einheitskrankenkasse","18 bis 19 Jahre",-0.1211
"ref","Stadt Luzern",13,2014-11-30,"Pauschalsteuer","18 bis 19 Jahre",-0.1043
"ref","Stadt Luzern",14,2015-03-08,"Energie- statt Mehrwertsteuer","18 bis 19 Jahre",0.0024
"ref","Stadt Luzern",15,2015-03-29,"Kantons- und Regierungsratswahlen","18 bis 19 Jahre",0.0173
"ref","Stadt Luzern",16,2015-05-10,"2. Wahlgang Regierungsratswahlen","18 bis 19 Jahre",-0.0353
"ref","Stadt Luzern",17,2015-06-14,"Erbschaftssteuer","18 bis 19 Jahre",-0.034
"ref","Stadt Luzern",18,2015-10-18,"National- und Ständeratswahlen","18 bis 19 Jahre",-0.0358
"f","Stadt Luzern",1,2012-03-11,"Ferieninitiative","18 bis 19 Jahre",0.3063
"f","Stadt Luzern",2,2012-05-06,"Lokale Wahlen","18 bis 19 Jahre",0.2267
"f","Stadt Luzern",3,2012-06-17,"Managed Care","18 bis 19 Jahre",0.2737
"f","Stadt Luzern",4,2012-09-23,"Schutz vor Passivrauchen","18 bis 19 Jahre",0.3048
"f","Stadt Luzern",5,2012-11-25,"Tierseuchengesetz","18 bis 19 Jahre",0.2034
"f","Stadt Luzern",6,2013-03-03,"Abzockerinitiative","18 bis 19 Jahre",0.5107
"f","Stadt Luzern",7,2013-06-09,"Volkswahl des Bundesrates","18 bis 19 Jahre",0.4105
"f","Stadt Luzern",8,2013-09-22,"Wehrpflicht","18 bis 19 Jahre",0.4213
"f","Stadt Luzern",9,2013-11-24,"1 zu 12","18 bis 19 Jahre",0.3354
"f","Stadt Luzern",10,2014-02-09,"Masseneinwanderungsinitiative","18 bis 19 Jahre",0.6552
"f","Stadt Luzern",11,2014-05-18,"Mindestlohninitiative","18 bis 19 Jahre",0.5903
"f","Stadt Luzern",12,2014-09-28,"Einheitskrankenkasse","18 bis 19 Jahre",0.3305
"f","Stadt Luzern",13,2014-11-30,"Pauschalsteuer","18 bis 19 Jahre",0.4086
"f","Stadt Luzern",14,2015-03-08,"Energie- statt Mehrwertsteuer","18 bis 19 Jahre",0.4038
"f","Stadt Luzern",15,2015-03-29,"Kantons- und Regierungsratswahlen","18 bis 19 Jahre",0.3093
"f","Stadt Luzern",16,2015-05-10,"2. Wahlgang Regierungsratswahlen","18 bis 19 Jahre",0.3081
"f","Stadt Luzern",17,2015-06-14,"Erbschaftssteuer","18 bis 19 Jahre",0.3777
"f","Stadt Luzern",18,2015-10-18,"National- und Ständeratswahlen","18 bis 19 Jahre",0.465
"overall","Kanton Neuenburg",1,2012-03-11,"Ferieninitiative","20 bis 29 Jahre",0.2928
"overall","Kanton Neuenburg",2,2012-05-13,"Lokale Wahlen","20 bis 29 Jahre",0.1952
"overall","Kanton Neuenburg",3,2012-06-17,"Managed Care","20 bis 29 Jahre",0.1546
"overall","Kanton Neuenburg",4,2012-09-23,"Schutz vor Passivrauchen","20 bis 29 Jahre",0.374
"overall","Kanton Neuenburg",5,2012-11-25,"Tierseuchengesetz","20 bis 29 Jahre",0.1371
"overall","Kanton Neuenburg",6,2013-03-03,"Abzockerinitiative","20 bis 29 Jahre",0.2129
"overall","Kanton Neuenburg",7,2013-06-09,"Volkswahl des Bundesrates","20 bis 29 Jahre",0.2074
"overall","Kanton Neuenburg",8,2013-09-22,"Wehrpflicht","20 bis 29 Jahre",0.2926
"overall","Kanton Neuenburg",9,2013-11-24,"1 zu 12","20 bis 29 Jahre",0.3534
"overall","Kanton Neuenburg",10,2014-02-09,"Masseneinwanderungsinitiative","20 bis 29 Jahre",0.3919
"overall","Kanton Neuenburg",11,2014-05-18,"Mindestlohninitiative","20 bis 29 Jahre",0.3523
"overall","Kanton Neuenburg",12,2014-09-28,"Einheitskrankenkasse","20 bis 29 Jahre",0.2734
"overall","Kanton Neuenburg",13,2014-11-30,"Pauschalsteuer","20 bis 29 Jahre",0.2337
"overall","Kanton Neuenburg",14,2015-03-08,"Energie- statt Mehrwertsteuer","20 bis 29 Jahre",0.2311
"overall","Kanton Neuenburg",15,2015-06-14,"Erbschaftssteuer","20 bis 29 Jahre",0.2167
"overall","Kanton Neuenburg",16,2015-10-18,"National- und Ständeratswahlen","20 bis 29 Jahre",0.2426
"m","Kanton Neuenburg",1,2012-03-11,"Ferieninitiative","20 bis 29 Jahre",0.2828
"m","Kanton Neuenburg",2,2012-05-13,"Lokale Wahlen","20 bis 29 Jahre",0.1898
"m","Kanton Neuenburg",3,2012-06-17,"Managed Care","20 bis 29 Jahre",0.1479
"m","Kanton Neuenburg",4,2012-09-23,"Schutz vor Passivrauchen","20 bis 29 Jahre",0.3657
"m","Kanton Neuenburg",5,2012-11-25,"Tierseuchengesetz","20 bis 29 Jahre",0.1372
"m","Kanton Neuenburg",6,2013-03-03,"Abzockerinitiative","20 bis 29 Jahre",0.2071
"m","Kanton Neuenburg",7,2013-06-09,"Volkswahl des Bundesrates","20 bis 29 Jahre",0.2095
"m","Kanton Neuenburg",8,2013-09-22,"Wehrpflicht","20 bis 29 Jahre",0.3106
"m","Kanton Neuenburg",9,2013-11-24,"1 zu 12","20 bis 29 Jahre",0.3312
"m","Kanton Neuenburg",10,2014-02-09,"Masseneinwanderungsinitiative","20 bis 29 Jahre",0.3765
"m","Kanton Neuenburg",11,2014-05-18,"Mindestlohninitiative","20 bis 29 Jahre",0.353
"m","Kanton Neuenburg",12,2014-09-28,"Einheitskrankenkasse","20 bis 29 Jahre",0.2661
"m","Kanton Neuenburg",13,2014-11-30,"Pauschalsteuer","20 bis 29 Jahre",0.2327
"m","Kanton Neuenburg",14,2015-03-08,"Energie- statt Mehrwertsteuer","20 bis 29 Jahre",0.2354
"m","Kanton Neuenburg",15,2014-06-14,"Erbschaftssteuer","20 bis 29 Jahre",0.2113
"m","Kanton Neuenburg",16,2015-10-18,"National- und Ständeratswahlen","20 bis 29 Jahre",0.241
"f","Kanton Neuenburg",1,2012-03-11,"Ferieninitiative","20 bis 29 Jahre",0.3025
"f","Kanton Neuenburg",2,2012-05-13,"Lokale Wahlen","20 bis 29 Jahre",0.2007
"f","Kanton Neuenburg",3,2012-06-17,"Managed Care","20 bis 29 Jahre",0.1613
"f","Kanton Neuenburg",4,2012-09-23,"Schutz vor Passivrauchen","20 bis 29 Jahre",0.3825
"f","Kanton Neuenburg",5,2012-11-25,"Tierseuchengesetz","20 bis 29 Jahre",0.1371
"f","Kanton Neuenburg",6,2013-03-03,"Abzockerinitiative","20 bis 29 Jahre",0.2189
"f","Kanton Neuenburg",7,2013-06-09,"Volkswahl des Bundesrates","20 bis 29 Jahre",0.2054
"f","Kanton Neuenburg",8,2013-09-22,"Wehrpflicht","20 bis 29 Jahre",0.2748
"f","Kanton Neuenburg",9,2013-11-24,"1 zu 12","20 bis 29 Jahre",0.3761
"f","Kanton Neuenburg",10,2014-02-09,"Masseneinwanderungsinitiative","20 bis 29 Jahre",0.4072
"f","Kanton Neuenburg",11,2014-05-18,"Mindestlohninitiative","20 bis 29 Jahre",0.3515
"f","Kanton Neuenburg",12,2014-09-28,"Einheitskrankenkasse","20 bis 29 Jahre",0.2808
"f","Kanton Neuenburg",13,2014-11-30,"Pauschalsteuer","20 bis 29 Jahre",0.2347
"f","Kanton Neuenburg",14,2015-03-08,"Energie- statt Mehrwertsteuer","20 bis 29 Jahre",0.2267
"f","Kanton Neuenburg",15,2014-06-14,"Erbschaftssteuer","20 bis 29 Jahre",0.2222
"f","Kanton Neuenburg",16,2015-10-18,"National- und Ständeratswahlen","20 bis 29 Jahre",0.2443
"gap","Kanton Neuenburg",1,2012-03-11,"Ferieninitiative","20 bis 29 Jahre",0.0197
"gap","Kanton Neuenburg",2,2012-05-13,"Lokale Wahlen","20 bis 29 Jahre",0.0109
"gap","Kanton Neuenburg",3,2012-06-17,"Managed Care","20 bis 29 Jahre",0.0134
"gap","Kanton Neuenburg",4,2012-09-23,"Schutz vor Passivrauchen","20 bis 29 Jahre",0.0168
"gap","Kanton Neuenburg",5,2012-11-25,"Tierseuchengesetz","20 bis 29 Jahre",-1e-04
"gap","Kanton Neuenburg",6,2013-03-03,"Abzockerinitiative","20 bis 29 Jahre",0.0118
"gap","Kanton Neuenburg",7,2013-06-09,"Volkswahl des Bundesrates","20 bis 29 Jahre",-0.0041
"gap","Kanton Neuenburg",8,2013-09-22,"Wehrpflicht","20 bis 29 Jahre",-0.0358
"gap","Kanton Neuenburg",9,2013-11-24,"1 zu 12","20 bis 29 Jahre",0.0449
"gap","Kanton Neuenburg",10,2014-02-09,"Masseneinwanderungsinitiative","20 bis 29 Jahre",0.0307
"gap","Kanton Neuenburg",11,2014-05-18,"Mindestlohninitiative","20 bis 29 Jahre",-0.0015
"gap","Kanton Neuenburg",12,2014-09-28,"Einheitskrankenkasse","20 bis 29 Jahre",0.0147
"gap","Kanton Neuenburg",13,2014-11-30,"Pauschalsteuer","20 bis 29 Jahre",0.0019
"gap","Kanton Neuenburg",14,2015-03-08,"Energie- statt Mehrwertsteuer","20 bis 29 Jahre",-0.0087
"gap","Kanton Neuenburg",15,2014-06-14,"Erbschaftssteuer","20 bis 29 Jahre",0.0109
"gap","Kanton Neuenburg",16,2015-10-18,"National- und Ständeratswahlen","20 bis 29 Jahre",0.0033
"ref","Kanton Neuenburg",1,2012-03-11,"Ferieninitiative","20 bis 29 Jahre",-0.166
"ref","Kanton Neuenburg",2,2012-05-13,"Lokale Wahlen","20 bis 29 Jahre",-0.1384
"ref","Kanton Neuenburg",3,2012-06-17,"Managed Care","20 bis 29 Jahre",-0.1652
"ref","Kanton Neuenburg",4,2012-09-23,"Schutz vor Passivrauchen","20 bis 29 Jahre",-0.141
"ref","Kanton Neuenburg",5,2012-11-25,"Tierseuchengesetz","20 bis 29 Jahre",-0.1493
"ref","Kanton Neuenburg",6,2013-03-03,"Abzockerinitiative","20 bis 29 Jahre",-0.1632
"ref","Kanton Neuenburg",7,2013-06-09,"Volkswahl des Bundesrates","20 bis 29 Jahre",-0.1677
"ref","Kanton Neuenburg",8,2013-09-22,"Wehrpflicht","20 bis 29 Jahre",-0.136
"ref","Kanton Neuenburg",9,2013-11-24,"1 zu 12","20 bis 29 Jahre",-0.1554
"ref","Kanton Neuenburg",10,2014-02-09,"Masseneinwanderungsinitiative","20 bis 29 Jahre",-0.1617
"ref","Kanton Neuenburg",11,2014-05-18,"Mindestlohninitiative","20 bis 29 Jahre",-0.144
"ref","Kanton Neuenburg",12,2014-09-28,"Einheitskrankenkasse","20 bis 29 Jahre",-0.1728
"ref","Kanton Neuenburg",13,2014-11-30,"Pauschalsteuer","20 bis 29 Jahre",-0.1517
"ref","Kanton Neuenburg",14,2015-03-08,"Energie- statt Mehrwertsteuer","20 bis 29 Jahre",-0.1816
"ref","Kanton Neuenburg",15,2014-06-14,"Erbschaftssteuer","20 bis 29 Jahre",-0.1725
"ref","Kanton Neuenburg",16,2015-10-18,"National- und Ständeratswahlen","20 bis 29 Jahre",-0.1302
"overall","Stadt Luzern",1,2012-03-11,"Ferieninitiative","20 bis 29 Jahre",0.2592
"overall","Stadt Luzern",2,2012-05-06,"Lokale Wahlen","20 bis 29 Jahre",0.2134
"overall","Stadt Luzern",3,2012-06-17,"Managed Care","20 bis 29 Jahre",0.2693
"overall","Stadt Luzern",4,2012-09-23,"Schutz vor Passivrauchen","20 bis 29 Jahre",0.3093
"overall","Stadt Luzern",5,2012-11-25,"Tierseuchengesetz","20 bis 29 Jahre",0.1743
"overall","Stadt Luzern",6,2013-03-03,"Abzockerinitiative","20 bis 29 Jahre",0.2859
"overall","Stadt Luzern",7,2013-06-09,"Volkswahl des Bundesrates","20 bis 29 Jahre",0.3084
"overall","Stadt Luzern",8,2013-09-22,"Wehrpflicht","20 bis 29 Jahre",0.3539
"overall","Stadt Luzern",9,2013-11-24,"1 zu 12","20 bis 29 Jahre",0.3894
"overall","Stadt Luzern",10,2014-02-09,"Masseneinwanderungsinitiative","20 bis 29 Jahre",0.436
"overall","Stadt Luzern",11,2014-05-18,"Mindestlohninitiative","20 bis 29 Jahre",0.5073
"overall","Stadt Luzern",12,2014-09-28,"Einheitskrankenkasse","20 bis 29 Jahre",0.3546
"overall","Stadt Luzern",13,2014-11-30,"Pauschalsteuer","20 bis 29 Jahre",0.4648
"overall","Stadt Luzern",14,2015-03-08,"Energie- statt Mehrwertsteuer","20 bis 29 Jahre",0.3107
"overall","Stadt Luzern",15,2015-03-29,"Kantons- und Regierungsratswahlen","20 bis 29 Jahre",0.2703
"overall","Stadt Luzern",16,2015-05-10,"2. Wahlgang Regierungsratswahlen","20 bis 29 Jahre",0.2611
"overall","Stadt Luzern",17,2015-06-14,"Erbschaftssteuer","20 bis 29 Jahre",0.3512
"overall","Stadt Luzern",18,2015-10-18,"National- und Ständeratswahlen","20 bis 29 Jahre",0.53
"m","Stadt Luzern",1,2012-03-11,"Ferieninitiative","20 bis 29 Jahre",0.2706
"m","Stadt Luzern",2,2012-05-06,"Lokale Wahlen","20 bis 29 Jahre",0.2222
"m","Stadt Luzern",3,2012-06-17,"Managed Care","20 bis 29 Jahre",0.2558
"m","Stadt Luzern",4,2012-09-23,"Schutz vor Passivrauchen","20 bis 29 Jahre",0.3046
"m","Stadt Luzern",5,2012-11-25,"Tierseuchengesetz","20 bis 29 Jahre",0.1827
"m","Stadt Luzern",6,2013-03-03,"Abzockerinitiative","20 bis 29 Jahre",0.2931
"m","Stadt Luzern",7,2013-06-09,"Volkswahl des Bundesrates","20 bis 29 Jahre",0.3092
"m","Stadt Luzern",8,2013-09-22,"Wehrpflicht","20 bis 29 Jahre",0.3738
"m","Stadt Luzern",9,2013-11-24,"1 zu 12","20 bis 29 Jahre",0.4011
"m","Stadt Luzern",10,2014-02-09,"Masseneinwanderungsinitiative","20 bis 29 Jahre",0.438
"m","Stadt Luzern",11,2014-05-18,"Mindestlohninitiative","20 bis 29 Jahre",0.5165
"m","Stadt Luzern",12,2014-09-28,"Einheitskrankenkasse","20 bis 29 Jahre",0.3435
"m","Stadt Luzern",13,2014-11-30,"Pauschalsteuer","20 bis 29 Jahre",0.4698
"m","Stadt Luzern",14,2015-03-08,"Energie- statt Mehrwertsteuer","20 bis 29 Jahre",0.3227
"m","Stadt Luzern",15,2015-03-29,"Kantons- und Regierungsratswahlen","20 bis 29 Jahre",0.2871
"m","Stadt Luzern",16,2015-05-10,"2. Wahlgang Regierungsratswahlen","20 bis 29 Jahre",0.2587
"m","Stadt Luzern",17,2015-06-14,"Erbschaftssteuer","20 bis 29 Jahre",0.3495
"m","Stadt Luzern",18,2015-10-18,"National- und Ständeratswahlen","20 bis 29 Jahre",0.5476
"gap","Stadt Luzern",1,2012-03-11,"Ferieninitiative","20 bis 29 Jahre",-0.0215
"gap","Stadt Luzern",2,2012-05-06,"Lokale Wahlen","20 bis 29 Jahre",-0.0167
"gap","Stadt Luzern",3,2012-06-17,"Managed Care","20 bis 29 Jahre",0.0256
"gap","Stadt Luzern",4,2012-09-23,"Schutz vor Passivrauchen","20 bis 29 Jahre",0.009
"gap","Stadt Luzern",5,2012-11-25,"Tierseuchengesetz","20 bis 29 Jahre",-0.016
"gap","Stadt Luzern",6,2013-03-03,"Abzockerinitiative","20 bis 29 Jahre",-0.0137
"gap","Stadt Luzern",7,2013-06-09,"Volkswahl des Bundesrates","20 bis 29 Jahre",-0.0017
"gap","Stadt Luzern",8,2013-09-22,"Wehrpflicht","20 bis 29 Jahre",-0.038
"gap","Stadt Luzern",9,2013-11-24,"1 zu 12","20 bis 29 Jahre",-0.0224
"gap","Stadt Luzern",10,2014-02-09,"Masseneinwanderungsinitiative","20 bis 29 Jahre",-0.0039
"gap","Stadt Luzern",11,2014-05-18,"Mindestlohninitiative","20 bis 29 Jahre",-0.0176
"gap","Stadt Luzern",12,2014-09-28,"Einheitskrankenkasse","20 bis 29 Jahre",0.0212
"gap","Stadt Luzern",13,2014-11-30,"Pauschalsteuer","20 bis 29 Jahre",-0.0095
"gap","Stadt Luzern",14,2015-03-08,"Energie- statt Mehrwertsteuer","20 bis 29 Jahre",-0.0229
"gap","Stadt Luzern",15,2015-03-29,"Kantons- und Regierungsratswahlen","20 bis 29 Jahre",-0.0322
"gap","Stadt Luzern",16,2015-05-10,"2. Wahlgang Regierungsratswahlen","20 bis 29 Jahre",0.0046
"gap","Stadt Luzern",17,2015-06-14,"Erbschaftssteuer","20 bis 29 Jahre",0.0034
"gap","Stadt Luzern",18,2015-10-18,"National- und Ständeratswahlen","20 bis 29 Jahre",-0.0338
"ref","Stadt Luzern",1,2012-03-11,"Ferieninitiative","20 bis 29 Jahre",-0.1845
"ref","Stadt Luzern",2,2012-05-06,"Lokale Wahlen","20 bis 29 Jahre",-0.1565
"ref","Stadt Luzern",3,2012-06-17,"Managed Care","20 bis 29 Jahre",-0.1882
"ref","Stadt Luzern",4,2012-09-23,"Schutz vor Passivrauchen","20 bis 29 Jahre",-0.1376
"ref","Stadt Luzern",5,2012-11-25,"Tierseuchengesetz","20 bis 29 Jahre",-0.1566
"ref","Stadt Luzern",6,2013-03-03,"Abzockerinitiative","20 bis 29 Jahre",-0.1648
"ref","Stadt Luzern",7,2013-06-09,"Volkswahl des Bundesrates","20 bis 29 Jahre",-0.148
"ref","Stadt Luzern",8,2013-09-22,"Wehrpflicht","20 bis 29 Jahre",-0.1161
"ref","Stadt Luzern",9,2013-11-24,"1 zu 12","20 bis 29 Jahre",-0.1195
"ref","Stadt Luzern",10,2014-02-09,"Masseneinwanderungsinitiative","20 bis 29 Jahre",-0.0957
"ref","Stadt Luzern",11,2014-05-18,"Mindestlohninitiative","20 bis 29 Jahre",-0.0527
"ref","Stadt Luzern",12,2014-09-28,"Einheitskrankenkasse","20 bis 29 Jahre",-0.1172
"ref","Stadt Luzern",13,2014-11-30,"Pauschalsteuer","20 bis 29 Jahre",-0.061
"ref","Stadt Luzern",14,2015-03-08,"Energie- statt Mehrwertsteuer","20 bis 29 Jahre",-0.1022
"ref","Stadt Luzern",15,2015-03-29,"Kantons- und Regierungsratswahlen","20 bis 29 Jahre",-0.0697
"ref","Stadt Luzern",16,2015-05-10,"2. Wahlgang Regierungsratswahlen","20 bis 29 Jahre",-0.1156
"ref","Stadt Luzern",17,2015-06-14,"Erbschaftssteuer","20 bis 29 Jahre",-0.0828
"ref","Stadt Luzern",18,2015-10-18,"National- und Ständeratswahlen","20 bis 29 Jahre",0.0323
"f","Stadt Luzern",1,2012-03-11,"Ferieninitiative","20 bis 29 Jahre",0.2491
"f","Stadt Luzern",2,2012-05-06,"Lokale Wahlen","20 bis 29 Jahre",0.2055
"f","Stadt Luzern",3,2012-06-17,"Managed Care","20 bis 29 Jahre",0.2814
"f","Stadt Luzern",4,2012-09-23,"Schutz vor Passivrauchen","20 bis 29 Jahre",0.3136
"f","Stadt Luzern",5,2012-11-25,"Tierseuchengesetz","20 bis 29 Jahre",0.1667
"f","Stadt Luzern",6,2013-03-03,"Abzockerinitiative","20 bis 29 Jahre",0.2794
"f","Stadt Luzern",7,2013-06-09,"Volkswahl des Bundesrates","20 bis 29 Jahre",0.3075
"f","Stadt Luzern",8,2013-09-22,"Wehrpflicht","20 bis 29 Jahre",0.3358
"f","Stadt Luzern",9,2013-11-24,"1 zu 12","20 bis 29 Jahre",0.3787
"f","Stadt Luzern",10,2014-02-09,"Masseneinwanderungsinitiative","20 bis 29 Jahre",0.4341
"f","Stadt Luzern",11,2014-05-18,"Mindestlohninitiative","20 bis 29 Jahre",0.4989
"f","Stadt Luzern",12,2014-09-28,"Einheitskrankenkasse","20 bis 29 Jahre",0.3647
"f","Stadt Luzern",13,2014-11-30,"Pauschalsteuer","20 bis 29 Jahre",0.4603
"f","Stadt Luzern",14,2015-03-08,"Energie- statt Mehrwertsteuer","20 bis 29 Jahre",0.2998
"f","Stadt Luzern",15,2015-03-29,"Kantons- und Regierungsratswahlen","20 bis 29 Jahre",0.2549
"f","Stadt Luzern",16,2015-05-10,"2. Wahlgang Regierungsratswahlen","20 bis 29 Jahre",0.2633
"f","Stadt Luzern",17,2015-06-14,"Erbschaftssteuer","20 bis 29 Jahre",0.3529
"f","Stadt Luzern",18,2015-10-18,"National- und Ständeratswahlen","20 bis 29 Jahre",0.5138
"overall","Kanton Neuenburg",1,2012-03-11,"Ferieninitiative","30 bis 39 Jahre",0.3504
"overall","Kanton Neuenburg",2,2012-05-13,"Lokale Wahlen","30 bis 39 Jahre",0.2251
"overall","Kanton Neuenburg",3,2012-06-17,"Managed Care","30 bis 39 Jahre",0.1811
"overall","Kanton Neuenburg",4,2012-09-23,"Schutz vor Passivrauchen","30 bis 39 Jahre",0.3913
"overall","Kanton Neuenburg",5,2012-11-25,"Tierseuchengesetz","30 bis 39 Jahre",0.1609
"overall","Kanton Neuenburg",6,2013-03-03,"Abzockerinitiative","30 bis 39 Jahre",0.2416
"overall","Kanton Neuenburg",7,2013-06-09,"Volkswahl des Bundesrates","30 bis 39 Jahre",0.226
"overall","Kanton Neuenburg",8,2013-09-22,"Wehrpflicht","30 bis 39 Jahre",0.2886
"overall","Kanton Neuenburg",9,2013-11-24,"1 zu 12","30 bis 39 Jahre",0.3892
"overall","Kanton Neuenburg",10,2014-02-09,"Masseneinwanderungsinitiative","30 bis 39 Jahre",0.4226
"overall","Kanton Neuenburg",11,2014-05-18,"Mindestlohninitiative","30 bis 39 Jahre",0.3557
"overall","Kanton Neuenburg",12,2014-09-28,"Einheitskrankenkasse","30 bis 39 Jahre",0.2986
"overall","Kanton Neuenburg",13,2014-11-30,"Pauschalsteuer","30 bis 39 Jahre",0.2361
"overall","Kanton Neuenburg",14,2015-03-08,"Energie- statt Mehrwertsteuer","30 bis 39 Jahre",0.2618
"overall","Kanton Neuenburg",15,2015-06-14,"Erbschaftssteuer","30 bis 39 Jahre",0.2386
"overall","Kanton Neuenburg",16,2015-10-18,"National- und Ständeratswahlen","30 bis 39 Jahre",0.2521
"m","Kanton Neuenburg",1,2012-03-11,"Ferieninitiative","30 bis 39 Jahre",0.3548
"m","Kanton Neuenburg",2,2012-05-13,"Lokale Wahlen","30 bis 39 Jahre",0.2167
"m","Kanton Neuenburg",3,2012-06-17,"Managed Care","30 bis 39 Jahre",0.1793
"m","Kanton Neuenburg",4,2012-09-23,"Schutz vor Passivrauchen","30 bis 39 Jahre",0.3868
"m","Kanton Neuenburg",5,2012-11-25,"Tierseuchengesetz","30 bis 39 Jahre",0.165
"m","Kanton Neuenburg",6,2013-03-03,"Abzockerinitiative","30 bis 39 Jahre",0.2412
"m","Kanton Neuenburg",7,2013-06-09,"Volkswahl des Bundesrates","30 bis 39 Jahre",0.2282
"m","Kanton Neuenburg",8,2013-09-22,"Wehrpflicht","30 bis 39 Jahre",0.2971
"m","Kanton Neuenburg",9,2013-11-24,"1 zu 12","30 bis 39 Jahre",0.3748
"m","Kanton Neuenburg",10,2014-02-09,"Masseneinwanderungsinitiative","30 bis 39 Jahre",0.4166
"m","Kanton Neuenburg",11,2014-05-18,"Mindestlohninitiative","30 bis 39 Jahre",0.3566
"m","Kanton Neuenburg",12,2014-09-28,"Einheitskrankenkasse","30 bis 39 Jahre",0.2907
