 Kanton;  Wahljahr;FDP;  CVP;  SP;  SVP;  Dem.;LPS;  LdU;  EVP;  CSP;  DSP;  GLP;  BDP;  PdA;  PSA;  POCH;  GPS;FGA;  Sol.;  SD;  Rep.;  EDU;  FPS;  Lega;  MCR;  LS;  JB;  Front;  Grüt;Übrige;  Total
Wallis;2001;32  ;75  ;18  ;2  ;;3  ;;;;;;;;;;;;;;;0  ;;;;;;;;0  ;130  
Wallis;2005;27  ;73  ;18  ;6  ;;3  ;;;1  ;;;;;;;2  ;;;;;;;;;;;;;0  ;130  
Wallis;2005;27  ;73  ;18  ;6  ;;3  ;;;1  ;;;;;;;2  ;;;;;;;;;;;;;0  ;130  
Wallis;2009;28  ;68  ;17  ;12  ;;;;;3  ;;;;;;;2  ;;;;;;;;;;;;;0  ;130  
Wallis;2009;28  ;68  ;17  ;12  ;;;;;3  ;;;;;;;2  ;;;;;;;;;;;;;0  ;130  
Wallis;2009;28  ;68  ;17  ;12  ;;;;;3  ;;;;;;;2  ;;;;;;;;;;;;;0  ;130  
Wallis;2009;28  ;68  ;17  ;12  ;;;;;3  ;;;;;;;2  ;;;;;;;;;;;;;0  ;130  
Wallis;2013;28  ;61  ;14  ;21  ;;;;;3  ;;;;;;;2  ;;;;;;;;;;;;;1  ;130  
Wallis;2013;28  ;61  ;14  ;21  ;;;;;3  ;;;;;;;2  ;;;;;;;;;;;;;1  ;130  
Wallis;2013;28  ;61  ;14  ;21  ;;;;;3  ;;;;;;;2  ;;;;;;;;;;;;;1  ;130  
Wallis;2017;26  ;55  ;13  ;23  ;;;;;4  ;;;;;;;8  ;;;;;;;;;;;;;1  ;130  
Zug;1970;25  ;41  ;8  ;;;;1  ;;;;;;;;;;;;3  ;;;;;;;;;;;78  
Zug;1974;24  ;44  ;7  ;;;;3  ;;;;;;;;;;;;2  ;;;;;;;;;;;80  
Zug;1978;23  ;43  ;10  ;;;;1  ;;;;;;;;;;;;;;;;;;;;;;3  ;80  
Zug;1982;29  ;40  ;10  ;;;;0  ;;;;;;;;;;;;;;;;;;;;;;1  ;80  
Zug;1986;29  ;38  ;10  ;;;;;;;;;;;;;;2  ;;;;;;;;;;;;1  ;80  
Zug;1990;25  ;36  ;12  ;;;;;;;;;;;;;;4  ;;;;;;;;;;;;3  ;80  
Zug;1994;28  ;33  ;9  ;3  ;;;;;;;;;;;;;3  ;;;;;;;;;;;;4  ;80  
Zug;1998;27  ;27  ;9  ;9  ;;;;;;;;;;;;;3  ;;;;;;;;;;;;5  ;80  
Zug;2002;20  ;25  ;9  ;18  ;;;;;;;;;;;;;5  ;;;;;;;;;;;;3  ;80  
Zug;2006;20  ;23  ;8  ;17  ;;;;;;;;;;;;;10  ;;0  ;;;;;;;;;;2  ;80  
Zug;2006;20  ;23  ;8  ;17  ;;;;;;;;;;;;;10  ;;0  ;;;;;;;;;;2  ;80  
Zug;2006;20  ;23  ;8  ;17  ;;;;;;;;;;;;;10  ;;0  ;;;;;;;;;;2  ;80  
Zug;2010;20  ;23  ;8  ;19  ;;;;;;;2  ;;;;;7  ;;;;;;;;;;;;;1  ;80  
Zug;2010;20  ;23  ;8  ;19  ;;;;;;;2  ;;;;;7  ;;;;;;;;;;;;;1  ;80  
Zug;2010;20  ;23  ;8  ;19  ;;;;;;;2  ;;;;;7  ;;;;;;;;;;;;;1  ;80  
Zug;2010;20  ;23  ;8  ;19  ;;;;;;;2  ;;;;;7  ;;;;;;;;;;;;;1  ;80  
Zug;2014;18  ;22  ;7  ;19  ;;;;;;;4  ;;;;;9  ;;;;;;;;;;;;;1  ;80  
Zug;2014;18  ;22  ;7  ;19  ;;;;;;;4  ;;;;;9  ;;;;;;;;;;;;;1  ;80  
Zug;2014;18  ;22  ;7  ;19  ;;;;;;;4  ;;;;;9  ;;;;;;;;;;;;;1  ;80  
Zürich;1971;37  ;17  ;43  ;33  ;3  ;;26  ;11  ;;;;;0  ;;;;;;10  ;;;;;;;;;;0  ;180  
Zürich;1975;43  ;20  ;42  ;32  ;;;20  ;13  ;;;;;0  ;;2  ;;;;7  ;;;;;;0  ;;;;1  ;180  
Zürich;1979;51  ;21  ;49  ;32  ;0  ;;14  ;12  ;;;;;0  ;;1  ;0  ;;;0  ;;0  ;;;;;;;;0  ;180  
Zürich;1983;52  ;23  ;35  ;35  ;0  ;;12  ;14  ;;;;;0  ;;3  ;4  ;;;2  ;;0  ;;;;;;;;0  ;180  
Zürich;1987;46  ;17  ;34  ;31  ;0  ;;10  ;11  ;;;;;0  ;;;21  ;3  ;;6  ;;0  ;;;;;;;;1  ;180  
Zürich;1991;50  ;13  ;43  ;37  ;0  ;;2  ;7  ;;;;;;;;20  ;2  ;;4  ;;0  ;2  ;;;;;;;0  ;180  
Zürich;1995;46  ;11  ;45  ;40  ;;;6  ;9  ;0  ;;;;;;;16  ;1  ;;3  ;;0  ;3  ;;;;;;;0  ;180  
Zürich;1999;35  ;13  ;43  ;60  ;;;2  ;9  ;0  ;;;;;;;11  ;1  ;;2  ;;1  ;0  ;;;;;;;3  ;180  
Zürich;2003;29  ;12  ;53  ;61  ;;;;9  ;0  ;;;;;;;14  ;0  ;;1  ;;1  ;0  ;;;;;;;0  ;180  
Zürich;2007;29  ;13  ;36  ;56  ;;;;10  ;;;10  ;;;;;19  ;2  ;;0  ;;5  ;;;;;;;;0  ;180  
Zürich;2011;23  ;9  ;35  ;54  ;;;;7  ;;;19  ;6  ;;;;19  ;3  ;;0  ;;5  ;;;;;;;;0  ;180  
Zürich;2015;31  ;9  ;36  ;54  ;;;;8  ;;;14  ;5  ;;;;13  ;5  ;;;;5  ;;;;;;;;0  ;180  
